"It's a pleasure to meet you. I'm Harvey, the local doctor."	"很高興認識你。我是哈維，這裡的醫生。"	"Introduction"
"I perform regular check-ups and medical procedures for all the residents of Pelican Town. It's rewarding work."	"我為鵜鶘鎮的居民提供一般的體檢和醫療服務。這是個很有意義的工作。"	"Introduction"
"I hope you'll find your own work equally rewarding, in time."	"希望有天你也會覺得自己的工作很有意義。"	"Introduction"
"Sunscreen? Check..."	"防曬乳？帶了……"	"Resort_Entering"
"Sun hat? Check..."	"遮陽帽？帶了……"	"Resort_Entering"
"If you get burnt, a little aloe vera cream might help soothe the skin."	"如果你曬傷了，抹一點蘆薈膠應該能讓皮膚感覺舒服些。"	"Resort_Leaving"
"I combed the whole beach for glass. We wouldn't want anyone to get a cut on their foot!"	"我檢查了整片沙灘，看有沒有玻璃。大家都不希望有人被劃傷腳的！"	"Resort_Shore"
"It's nice to have an opportunity to relax now and then."	"能三不五時地找到放鬆的機會，這還挺好的。"	"Resort_Chair"
"The trouble is actually letting go of your worries..."	"徹底放下你的煩惱才是真正困難的事……"	"Resort_Chair"
"It's important to stay hydrated in this heat. I'm going to ask Gus if he has any coconut water!"	"天氣這麼熱，補水是很重要的。我要去問問格斯，看他有沒有椰子水！"	"Resort_Bar"
"I'll let you in on a little secret... I can only swim with floaties."	"告訴你一個小秘密……我要用游泳圈才能游泳。"	"Resort"
"Oh! I'm sorry... I, er... have plans to ask someone else."	"噢！不好意思……我，呃……打算邀請別人。"	"danceRejection"
"I... I can't look at you. Please spare me any more pain."	"我……我無法再面對你了。求你別讓我承受更多的痛苦。"	"divorced"
"...Y...You...?"	"……你……你……？"	"breakUp"
"*gulp*... I... I think I'm going to be sick..."	"（吞口水）……我……我大概是要生病了……"	"breakUp"
"I'm busy with my work. I can't speak to you."	"我忙於工作。無法和你說話。"	"dumped_Guys"
"I want you back in my life, @. I'm willing to forget what happened."	"我想讓你回到我的生活中，@。我願意忘記發生過什麼。"	"secondChance_Guys"
